outcome,tract,metric,node,t,p,hemisphere,N,covariates,extent_threshold,cluster_p,passed
memory_accuracy,l_example_tract,NDI,21,2.1879,0.03525,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,22,2.4378,0.01984,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,23,2.4204,0.02068,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,24,2.3697,0.02328,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,25,2.7556,0.00913,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,26,2.7934,0.0083,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,27,2.5334,0.01579,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,28,2.4877,0.01762,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,29,2.499,0.01715,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,30,2.401,0.02164,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,31,2.6186,0.01284,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,32,2.6294,0.0125,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,33,2.6884,0.01081,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,34,3.0941,0.00381,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,35,2.7991,0.00818,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,36,2.9845,0.00508,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,37,2.7178,0.01004,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,38,3.2344,0.00261,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,39,3.1728,0.00309,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,40,3.125,0.0035,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,41,3.4182,0.00158,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,42,3.0211,0.00461,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,43,2.8565,0.00707,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,44,3.23,0.00264,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,45,2.469,0.01843,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,46,2.5841,0.01397,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,47,2.4807,0.01792,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,48,2.1964,0.03459,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,49,2.4342,0.02001,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,50,2.373,0.0231,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,51,2.3741,0.02305,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,52,2.2164,0.03307,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,53,2.4303,0.0202,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,54,2.0434,0.04839,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,55,1.8392,0.07414,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,56,2.3333,0.02533,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,57,2.2307,0.03202,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,58,2.3193,0.02617,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,59,2.737,0.00957,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,60,2.69,0.01076,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,61,2.5315,0.01587,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,62,2.5894,0.01379,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,63,2.3712,0.0232,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,64,2.6448,0.01204,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,65,2.7668,0.00888,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,66,2.7635,0.00895,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,67,2.6546,0.01175,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,68,2.0189,0.05099,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,69,2.7099,0.01024,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,70,2.5079,0.01679,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,71,2.3667,0.02345,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,72,2.5286,0.01598,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,73,2.4326,0.02009,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,74,2.3816,0.02264,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,75,2.1615,0.03738,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,76,1.9661,0.05704,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,77,2.172,0.03652,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,78,2.0452,0.04819,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,79,2.0258,0.05024,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,80,2.1105,0.04183,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,81,2.1834,0.03561,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,82,2.1665,0.03697,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,83,2.1267,0.04037,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,84,2.12,0.04096,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,85,2.0662,0.04606,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,86,1.8047,0.07949,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,87,2.1468,0.03862,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,88,2.1917,0.03495,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,89,2.2464,0.03091,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,90,2.1518,0.03819,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,91,2.1536,0.03805,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,92,2.2648,0.02965,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,93,1.9746,0.05602,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,94,2.2535,0.03042,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,95,2.2548,0.03032,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,96,2.1155,0.04138,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,97,2.1171,0.04123,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,98,1.8797,0.06826,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,99,1.9523,0.05871,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,r_example_tract,NDI,0,2.3202,0.02611,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,1,2.4339,0.02003,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,2,2.5094,0.01673,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,3,2.5861,0.0139,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,4,2.7629,0.00897,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,5,2.9993,0.00489,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,6,2.8136,0.00789,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,7,2.3559,0.02404,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,8,2.7248,0.00987,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,9,2.3471,0.02454,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,10,2.7893,0.00839,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,11,2.7397,0.00951,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,12,2.5635,0.01469,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,13,2.59,0.01377,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,14,2.6795,0.01105,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,15,2.1025,0.04256,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,16,2.2489,0.03073,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,17,2.2223,0.03263,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,18,2.1228,0.04072,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,19,2.5778,0.01418,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,20,2.2065,0.03382,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,21,2.3175,0.02627,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,22,2.5942,0.01363,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,23,2.646,0.012,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,24,2.396,0.0219,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,25,2.2579,0.03011,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,26,2.3383,0.02505,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,27,2.1079,0.04207,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,28,2.2179,0.03296,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,29,2.169,0.03676,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,30,2.1867,0.03534,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,31,2.1231,0.04069,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,32,2.3173,0.02629,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,33,2.1407,0.03914,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,34,2.1308,0.04001,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,35,2.1776,0.03607,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,36,2.4257,0.02042,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,37,2.4894,0.01755,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,38,2.5201,0.01631,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,39,2.5667,0.01457,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,40,2.2365,0.0316,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,41,2.2198,0.03282,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,42,2.5709,0.01442,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,43,2.6424,0.01211,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,44,2.7549,0.00915,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,45,2.5885,0.01382,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,46,2.5761,0.01424,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,47,2.6376,0.01225,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,48,2.7499,0.00927,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,49,2.9191,0.00602,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,50,2.4312,0.02015,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,51,2.5252,0.01611,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,52,2.9633,0.00537,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,53,2.8549,0.0071,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,54,2.8345,0.00748,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,55,2.54,0.01554,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,56,2.5346,0.01575,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,57,2.5823,0.01403,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,58,2.5343,0.01576,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,59,2.3071,0.02691,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,60,2.3276,0.02567,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,61,2.6597,0.0116,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,62,2.7741,0.00872,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,63,2.9114,0.00614,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,64,2.7522,0.00921,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,65,2.6897,0.01077,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,66,2.9757,0.0052,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,67,2.66,0.01159,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,68,2.6665,0.01141,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,69,2.7655,0.00891,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,70,2.8249,0.00766,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,71,3.0239,0.00458,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,72,2.4631,0.01869,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,73,2.6018,0.01338,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,74,2.2968,0.02755,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,75,2.4645,0.01863,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,76,2.49,0.01753,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,77,2.3949,0.02195,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,78,2.3415,0.02486,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,79,2.0722,0.04547,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,80,2.2429,0.03115,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,81,2.1722,0.0365,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,82,2.0536,0.04734,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,83,2.2267,0.03231,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,84,1.9956,0.05358,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,85,2.167,0.03693,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,86,1.9475,0.05931,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,87,2.2405,0.03132,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,88,2.5519,0.0151,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
memory_accuracy,r_example_tract,NDI,89,2.2926,0.02782,R,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.018,1
